Source:,/Users/ageppert/Dropbox/Electronics/Core 64 Interactive Badge/Core-64-Interactive-Core-Memory-Badge/Electronic Design/Interactive Core Memory Badge (Logic) v0.3/Interactive Core Memory Badge (Logic) Main v0.3.sch,,,,,,,,,,,,,,,,,
Date:,"Thursday, May 21, 2020 at 07:06:58 AM",,,,,,,,,,,,,,,,,
Tool:,Eeschema (5.1.2-1)-1,,,,,,,,,,,,,,,,,
Generator:,/private/var/folders/kh/1q_kd4hn7cq821df7xpmdhbw0000gn/T/AppTranslocation/C0C9017D-E73E-48F9-99F9-451879B2E2B1/d/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,,,,,,
Component Count:,122,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Collated Components:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,Digi-Key_PN,LibPart,Footprint,Datasheet,Category,DK_Datasheet_Link,DK_Detail_Page,Description,Family,Height,MPN,Manufacturer,Manufacturer_Name,Manufacturer_Part_Number,Status
23,11,"Q3, Q4, Q6, Q8, Q10, Q12, Q14, Q16, Q18, Q20, Q22",MMBT4401LT1G,MMBT4401LT1GOSCT-ND,Digikey-Transistors:MMBT4401LT1G,Digikey:SOT-23-3,http://www.onsemi.com/pub/Collateral/MMBT4401LT1-D.PDF,Discrete Semiconductor Products,http://www.onsemi.com/pub/Collateral/MMBT4401LT1-D.PDF,/product-detail/en/on-semiconductor/MMBT4401LT1G/MMBT4401LT1GOSCT-ND/1139819,TRANS NPN 40V 0.6A SOT23,Transistors - Bipolar (BJT) - Single,,MMBT4401LT1G,ON Semiconductor,,,Active
24,1,R1,0.001,,Device:R,Resistor_SMD:R_0805_2012Metric,~,,,,,,,,,,,
25,2,"R2, R3",4K7,,Device:R,Resistor_SMD:R_0805_2012Metric,~,,,,,,,,,,,
26,1,R5,300,,Device:R,Resistor_SMD:R_0805_2012Metric,~,,,,,,,,,,,
27,21,"R8, R9, R10, R11, R12, R14, R15, R17, R18, R22, R23, R25, R26, R27, R28, R29, R30, R32, R33, R34, R35",470,,Device:R,Resistor_SMD:R_0805_2012Metric,~,,,,,,,,,,,
28,6,"R13, R19, R20, R21, R24, R31",6R8,,Device:R,Resistor_SMD:R_0805_2012Metric,~,,,,,,,,,,,
29,3,"R36, R39, R42",1K5,,Device:R,Resistor_SMD:R_0805_2012Metric,~,,,,,,,,,,,
30,2,"R37, R40",1K8,,Device:R,Resistor_SMD:R_0805_2012Metric,~,,,,,,,,,,,
31,2,"R38, R41",11,,Device:R,Resistor_SMD:R_0805_2012Metric,~,,,,,,,,,,,
32,6,"R43, R44, R45, R46, R51, R52",10k,,Device:R,Resistor_SMD:R_0805_2012Metric,~,,,,,,,,,,,
33,1,SW1,JS102011SAQN,,Switch:SW_SPDT,Button_Switch_SMD:SW_SPDT_CK-JS102011SAQN,~,,,,,,,,,,,
34,1,U1,LD1117S33TR_SOT223,,Regulator_Linear:LD1117S33TR_SOT223,Package_TO_SOT_SMD:SOT-223-3_TabPin2,http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf,,,,,,,,,,,
35,1,U2,Teensy-LC,,Teensy:Teensy-LC,Teensy:Teensy30_31_32_LC_SMD_SOCKETS,,,,,,,,,,,,
36,1,U3,M24C01-RMN,,Memory_EEPROM:M24C01-RMN,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://www.st.com/content/ccc/resource/technical/document/datasheet/b0/d8/50/40/5a/85/49/6f/DM00071904.pdf/files/DM00071904.pdf/jcr:content/translations/en.DM00071904.pdf,,,,,,,,,,,
37,1,U4,SN74LV1T125DBVR,,Logic_LevelTranslator:SN74LV1T125DBVR,Package_TO_SOT_SMD:SOT-23-5,http://www.ti.com/lit/ds/symlink/sn74lv1t125.pdf,,,,,,,,,,,
38,2,"U5, U6",MCP23017_SO,,Interface_Expansion:MCP23017_SO,Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm,http://ww1.microchip.com/downloads/en/DeviceDoc/20001952C.pdf,,,,,,,,,,,
39,1,U7,LM393,,Comparator:LM393,Digikey:SOIC-8_W3.9mm,http://www.ti.com/lit/ds/symlink/lm393-n.pdf,,,,,,,,,,,
40,1,U8,74HC02,,74xx:74HC02,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,http://www.ti.com/lit/gpn/sn74hc02,,,,,,,,,,,
41,1,X1,SSW-104-22-L-S-VS,,Connector:Conn_01x04_Female,Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical_SMD_and_TH_Pin1Left,~,,,,,,,,,,,
42,1,X3,Conn_01x04_Male,,Connector:Conn_01x04_Male,Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,~,,,,,,,,,,,
43,1,X4,SAO_conn_SFH11-NBPC-D03-ST-BK,,badgelife_shitty_addon_v169bis:SAO_conn_SFH11-NBPC-D03-ST-BK,badgelife_sao_v169bis:Badgelife-SAOv169-BADGE-2x3,,,,,,,,,,,,
